date,sox_close,price_momentum_z,pe_dev,ps_dev,capex_surplus,dio,dio_qoq,sentiment_z
2020-12-18,1658.6367,0.836,0.6101,0.3608,0.0413,65.0,0.0,0.9889
2020-12-25,1742.3268,0.9803,0.3561,0.5612,0.0314,65.0,0.0,0.7934
2021-01-01,1813.5698,1.3463,0.5016,0.364,0.0436,65.0,0.0,0.9079
2021-01-08,1886.9701,1.5751,0.5406,0.5128,0.0209,65.0,0.0,1.0943
2021-01-15,1995.8327,2.5394,0.769,0.55,0.0615,65.0,0.0,1.4158
2021-01-22,2021.2499,2.7548,0.5741,0.4317,0.0672,65.0,0.0,1.278
2021-01-29,2093.7488,2.9914,0.6236,0.6375,0.0407,65.0,0.0,0.9329
2021-02-05,2096.1371,3.0,0.6632,0.6334,0.0404,65.0,0.0,1.3631
2021-02-12,2145.0732,2.9121,0.6111,0.8126,0.055,65.0,0.0,0.8634
2021-02-19,2161.0432,3.0,0.5366,0.7171,0.041,65.0,0.0,1.1823
2021-02-26,2194.3122,3.0,0.6135,0.5332,0.0484,65.0,0.0,1.2702
2021-03-05,2266.3525,3.0,0.719,0.853,0.0917,65.0,0.0,1.2835
2021-03-12,2228.6456,2.7988,0.4633,0.7764,0.0447,65.0,0.0,1.2369
2021-03-19,2418.601,3.0,0.6062,0.7116,0.0426,65.0,0.0,0.7639
2021-03-26,2362.4638,3.0,0.5062,0.6218,0.0368,65.0,0.0,1.2394
2021-04-02,2290.4166,3.0,0.7336,0.5404,0.0646,65.0,0.0,1.0703
2021-04-09,2410.7411,3.0,0.4074,0.6056,0.0461,65.0,0.0,1.2053
2021-04-16,2506.4673,3.0,0.5231,0.7679,0.0368,65.0,0.0,0.8732
2021-04-23,2591.2967,3.0,0.6355,0.8564,0.0762,65.0,0.0,1.175
2021-04-30,2657.9154,3.0,0.7781,0.8184,0.0781,65.0,0.0,0.7556
2021-05-07,2683.6807,3.0,0.5823,0.5927,0.0377,65.0,0.0,0.8828
2021-05-14,2650.3189,3.0,0.5236,0.5226,0.0124,65.0,0.0,1.1347
2021-05-21,2681.8448,3.0,0.8159,0.6626,0.0699,65.0,0.0,0.9387
2021-05-28,2663.2622,3.0,0.4164,0.4505,0.0361,65.0,0.0,1.1001
2021-06-04,2754.8198,3.0,0.3263,0.6829,0.0656,65.0,0.0,0.6936
2021-06-11,2772.2401,3.0,0.643,0.6306,0.0104,65.0,0.0,0.9116
2021-06-18,2742.7506,2.7288,0.5247,0.5863,0.0674,65.0,0.0,0.6878
2021-06-25,2748.141,3.0,0.4677,0.4698,0.0255,65.0,0.0,1.0583
2021-07-02,2803.9923,3.0,0.6752,0.704,0.0644,65.0,0.0,1.0418
2021-07-09,2792.5152,2.7838,0.6155,0.581,0.0499,65.0,0.0,1.0184
2021-07-16,2763.0388,2.5456,0.5122,0.4999,0.0303,65.0,0.0,0.5192
