date,sox_close,prior_prob,posterior_prob,prior_log_odds,evidence_log_odds,posterior_log_odds,contrib_pe_dev,contrib_ps_dev,contrib_price_momentum_z,contrib_dio_qoq,contrib_capex_surplus,contrib_sentiment_z
2020-12-18,1658.6367,0.3551,0.8195,-0.5965,2.1095,1.513,0.7321,0.3247,0.418,0.0,0.0413,0.5933
2020-12-25,1742.3268,0.3651,0.7985,-0.5532,1.93,1.3768,0.4273,0.5051,0.4902,0.0,0.0314,0.476
2021-01-01,1813.5698,0.3909,0.8517,-0.4434,2.191,1.7476,0.6019,0.3276,0.6732,0.0,0.0436,0.5447
2021-01-08,1886.9701,0.4074,0.9003,-0.3748,2.5753,2.2005,0.6487,0.4615,0.7876,0.0,0.0209,0.6566
2021-01-15,1995.8327,0.4786,0.9711,-0.0855,3.5985,3.513,0.9228,0.495,1.2697,0.0,0.0615,0.8495
2021-01-22,2021.2499,0.4948,0.9633,-0.0209,3.2888,3.268,0.6889,0.3885,1.3774,0.0,0.0672,0.7668
2021-01-29,2093.7488,0.5125,0.9698,0.0501,3.4182,3.4683,0.7483,0.5738,1.4957,0.0,0.0407,0.5597
2021-02-05,2096.1371,0.5132,0.9776,0.0527,3.7242,3.7769,0.7958,0.5701,1.5,0.0,0.0404,0.8179
2021-02-12,2145.0732,0.5066,0.9713,0.0263,3.4938,3.5201,0.7333,0.7313,1.456,0.0,0.055,0.518
2021-02-19,2161.0432,0.5132,0.9732,0.0527,3.5397,3.5924,0.6439,0.6454,1.5,0.0,0.041,0.7094
2021-02-26,2194.3122,0.5132,0.9729,0.0527,3.5266,3.5793,0.7362,0.4799,1.5,0.0,0.0484,0.7621
2021-03-05,2266.3525,0.5132,0.9828,0.0527,3.9923,4.045,0.8628,0.7677,1.5,0.0,0.0917,0.7701
2021-03-12,2228.6456,0.4981,0.9687,-0.0077,3.441,3.4333,0.556,0.6988,1.3994,0.0,0.0447,0.7421
2021-03-19,2418.601,0.5132,0.9684,0.0527,3.3688,3.4215,0.7274,0.6404,1.5,0.0,0.0426,0.4583
2021-03-26,2362.4638,0.5132,0.9707,0.0527,3.4475,3.5002,0.6074,0.5596,1.5,0.0,0.0368,0.7436
2021-04-02,2290.4166,0.5132,0.9741,0.0527,3.5735,3.6262,0.8803,0.4864,1.5,0.0,0.0646,0.6422
2021-04-09,2410.7411,0.5132,0.9663,0.0527,3.3032,3.3559,0.4889,0.545,1.5,0.0,0.0461,0.7232
2021-04-16,2506.4673,0.5132,0.9687,0.0527,3.3796,3.4323,0.6277,0.6911,1.5,0.0,0.0368,0.5239
2021-04-23,2591.2967,0.5132,0.9795,0.0527,3.8146,3.8673,0.7626,0.7708,1.5,0.0,0.0762,0.705
2021-04-30,2657.9154,0.5132,0.9771,0.0527,3.7017,3.7544,0.9337,0.7366,1.5,0.0,0.0781,0.4534
2021-05-07,2683.6807,0.5132,0.9662,0.0527,3.2996,3.3523,0.6988,0.5334,1.5,0.0,0.0377,0.5297
2021-05-14,2650.3189,0.5132,0.9659,0.0527,3.2919,3.3446,0.6283,0.4703,1.5,0.0,0.0124,0.6808
2021-05-21,2681.8448,0.5132,0.9773,0.0527,3.7085,3.7612,0.9791,0.5963,1.5,0.0,0.0699,0.5632
2021-05-28,2663.2622,0.5132,0.9591,0.0527,3.1013,3.154,0.4997,0.4055,1.5,0.0,0.0361,0.6601
2021-06-04,2754.8198,0.5132,0.9544,0.0527,2.9879,3.0406,0.3916,0.6146,1.5,0.0,0.0656,0.4162
2021-06-11,2772.2401,0.5132,0.9692,0.0527,3.3965,3.4492,0.7716,0.5675,1.5,0.0,0.0104,0.547
2021-06-18,2742.7506,0.4928,0.9513,-0.0287,3.0018,2.9731,0.6296,0.5277,1.3644,0.0,0.0674,0.4127
2021-06-25,2748.141,0.5132,0.9607,0.0527,3.1445,3.1972,0.5612,0.4228,1.5,0.0,0.0255,0.635
2021-07-02,2803.9923,0.5132,0.9755,0.0527,3.6333,3.686,0.8102,0.6336,1.5,0.0,0.0644,0.6251
2021-07-09,2792.5152,0.497,0.9645,-0.0122,3.3143,3.3022,0.7386,0.5229,1.3919,0.0,0.0499,0.611
2021-07-16,2763.0388,0.4791,0.9306,-0.0836,2.6792,2.5956,0.6146,0.4499,1.2728,0.0,0.0303,0.3115
2021-07-23,2807.5021,0.4872,0.9228,-0.0511,2.5317,2.4806,0.5153,0.2842,1.327,0.0,0.0414,0.3638
2021-07-30,2852.7708,0.4887,0.9529,-0.0451,3.0534,3.0083,0.826,0.5695,1.337,0.0,0.0633,0.2576
2021-08-06,2845.1436,0.4864,0.9694,-0.0542,3.5084,3.4542,0.793,0.7483,1.3218,0.0,0.0516,0.5939
2021-08-13,2840.0908,0.4861,0.9651,-0.0556,3.3765,3.3209,0.685,0.737,1.3196,0.0,0.0612,0.5738
2021-08-20,2884.9678,0.4722,0.9537,-0.1112,3.1366,3.0254,0.9581,0.5169,1.2268,0.0,0.0888,0.346
2021-08-27,2809.3755,0.4491,0.9009,-0.2042,2.4112,2.2069,0.5207,0.4829,1.0718,0.0,0.0174,0.3184
2021-09-03,2738.6169,0.442,0.9054,-0.233,2.4913,2.2584,0.448,0.5823,1.0239,0.0,0.0807,0.3565
2021-09-10,2716.8145,0.4215,0.8852,-0.3166,2.359,2.0424,0.5401,0.4072,0.8845,0.0,0.0493,0.4779
2021-09-17,2729.4852,0.4138,0.877,-0.3481,2.3128,1.9647,0.6196,0.5237,0.832,0.0,0.0286,0.3089
2021-09-24,2777.9955,0.4051,0.8781,-0.3844,2.3589,1.9745,0.6426,0.5526,0.7715,0.0,0.019,0.3732
2021-10-01,2908.2388,0.4083,0.8791,-0.3712,2.3554,1.9843,0.58,0.6053,0.7936,0.0,0.0422,0.3344
2021-10-08,2999.6782,0.4241,0.9052,-0.3059,2.5623,2.2564,0.6947,0.5011,0.9023,0.0,0.0658,0.3984
